German	IPA	Vietnamese	Example	Translation
der Werkzeugbau	[ˈvɛʁktsɔʏkbaʊ]	Chế tạo dụng cụ	Số ít: [Wofür ist der Werkzeugbau zuständig?] [voˈfyːɐ ɪst deːɐ ˈvɛʁktsɔʏkbaʊ ˈtsuːʃtɛndɪç] – [Der Werkzeugbau fertigt Vorrichtungen und Lehren.] [deːɐ ˈvɛʁktsɔʏkbaʊ ˈfɛʁtɪçt ˈfoːɐʁɪçtʊŋən ʊnt ˈleːʁən] \nSố nhiều: [Welche Werkzeugbauten werden digital unterstützt?] [ˈvɛlçə ˈvɛʁktsɔʏkˌbaʊtən ˈvɛʁdən diɡiˈtaːl ˌʊntɐˈʃtʏtst] – [Alle Werkzeugbauten nutzen CAD/CAM‑Systeme.] [ˈalə ˈvɛʁktsɔʏkˌbaʊtən ˈnʊtsən kaːʔaːˈdeː kaːʔaːˈɛm zʏsˈteːmə]	Số ít: "Bộ phận chế tạo dụng cụ chịu trách nhiệm về việc gì?" – "Bộ phận chế tạo dụng cụ sản xuất đồ gá và dưỡng." \nSố nhiều: "Những công đoạn chế tạo dụng cụ nào được hỗ trợ kỹ thuật số?" – "Tất cả các khâu chế tạo dụng cụ đều sử dụng hệ thống CAD/CAM."
die Metallindustrie	[meˈtalɪndʊstʁiː]	Công nghiệp kim loại	Số ít: [Wie entwickelt sich die Metallindustrie?] [viː ɛntˈvɪkəlt zɪç diː meˈtalɪndʊstʁiː] – [Die Metallindustrie wächst moderat.] [diː meˈtalɪndʊstʁiː vɛkst moˈdeʁaːt] \nSố nhiều: [Welche Metallindustrien sind betroffen?] [ˈvɛlçə meˈtalɪndʊstʁiən zɪnt bəˈtʁɔfən] – [Die Stahl‑ und die Aluminiumindustrie sind betroffen.] [diː ˈʃtaːl ʊnt diː aluˈmiːniʊmɪndʊstʁiː zɪnt bəˈtʁɔfən]	Số ít: "Ngành công nghiệp kim loại phát triển ra sao?" – "Ngành công nghiệp kim loại tăng trưởng vừa phải." \nSố nhiều: "Những ngành công nghiệp kim loại nào bị ảnh hưởng?" – "Ngành thép và nhôm bị ảnh hưởng."
die Metallurgie	[metaˈlʊʁɡiː]	Luyện kim	Số ít: [Ist die Metallurgie ein traditionsreicher Zweig?] [ɪst diː metaˈlʊʁɡiː aɪn tʁadiˈtsjoːnsˌʁaɪçɐ tsvaɪk] – [Ja, die Metallurgie existiert seit Jahrhunderten.] [jaː diː metaˈlʊʁɡiː ɛksɪsˈtiːɐt zaɪt jaːɐˈhʊndɐtən] \nSố nhiều: [Welche Metallurgien sind heute relevant?] [ˈvɛlçə metaˈlʊʁɡiən zɪnt ˈhɔʏtə ʁeleˈvant] – [Pulvermetallurgie und Elektrometallurgie sind heute relevant.] [ˈpʊlvɐmetaˌlʊʁɡiː ʊnt eˈlɛktʁometaˌlʊʁɡiː zɪnt ˈhɔʏtə ʁeleˈvant]	Số ít: "Luyện kim có phải là một ngành truyền thống lâu đời không?" – "Có, luyện kim đã tồn tại hàng thế kỷ." \nSố nhiều: "Những ngành luyện kim nào còn phù hợp ngày nay?" – "Luyện kim bột và luyện kim điện phân ngày nay còn phù hợp."
die Stahlindustrie	[ˈʃtaːlɪndʊstʁiː]	Công nghiệp thép	Số ít: [Wohin exportiert die Stahlindustrie?] [voˈhɪn ɛkspɔʁˈtiːɐt diː ˈʃtaːlɪndʊstʁiː] – [Die Stahlindustrie exportiert in über 100 Länder.] [diː ˈʃtaːlɪndʊstʁiː ɛkspɔʁˈtiːɐt ɪn ˈyːbɐ ˈhʊndɐt ˈlɛndɐ] \nSố nhiều: [Welche Stahlindustrien sind weltweit führend?] [ˈvɛlçə ˈʃtaːlɪndʊstʁiən zɪnt ˈvɛltvaɪt ˈfyːʁənt] – [Die chinesische und die indische Stahlindustrie sind weltweit führend.] [diː çiˈneːzɪʃə ʊnt diː ˈɪndɪʃə ˈʃtaːlɪndʊstʁiː zɪnt ˈvɛltvaɪt ˈfyːʁənt]	Số ít: "Ngành thép xuất khẩu đi đâu?" – "Ngành thép xuất khẩu sang hơn 100 nước." \nSố nhiều: "Những ngành công nghiệp thép nào dẫn đầu thế giới?" – "Ngành thép Trung Quốc và Ấn Độ dẫn đầu thế giới."
das Stahlwerk	[ˈʃtaːlvɛʁk]	Nhà máy thép	Số ít: [Wo befindet sich das nächste Stahlwerk?] [voː bəˈfɪndət zɪç das ˈnɛːçstə ˈʃtaːlvɛʁk] – [Das nächste Stahlwerk ist 50 Kilometer entfernt.] [das ˈnɛːçstə ˈʃtaːlvɛʁk ɪst ˈfʏnftsɪç kiloˈmeːtɐ ɛntˈfɛʁnt] \nSố nhiều: [Welche Stahlwerke produzieren Edelstahl?] [ˈvɛlçə ˈʃtaːlvɛʁkə pʁoduˈtsiːʁən ˈeːdəlʃtaːl] – [Die Stahlwerke in Duisburg und Linz produzieren Edelstahl.] [diː ˈʃtaːlvɛʁkə ɪn ˈdyːsbʊʁk ʊnt lɪnts pʁoduˈtsiːʁən ˈeːdəlʃtaːl]	Số ít: "Nhà máy thép gần nhất nằm ở đâu?" – "Nhà máy thép gần nhất cách 50 km." \nSố nhiều: "Những nhà máy thép nào sản xuất thép không gỉ?" – "Các nhà máy thép ở Duisburg và Linz sản xuất thép không gỉ."
das Gießen (die Gießerei)	[ˈɡiːsən] / [ɡiːsəˈʁaɪ]	Đúc kim loại / Xưởng đúc	Số ít (das Gießen): [Wird das Gießen automatisiert?] [vɪʁt das ˈɡiːsən aʊtɔmatiˈziːɐt] – [Ja, das Gießen erfolgt heute oft vollautomatisch.] [jaː das ˈɡiːsən ɛɐˈfɔlkt ˈhɔʏtə ɔft ˈfɔlaʊtoˌmaːtɪʃ] \n(die Gießerei): [Wann wurde die Gießerei gegründet?] [van ˈvʊʁdə diː ɡiːsəˈʁaɪ ɡəˈɡʁʏndət] – [Die Gießerei wurde 1920 gegründet.] [diː ɡiːsəˈʁaɪ ˈvʊʁdə ˈnaʊntseːnhʊndɐtˈtsvantsɪç ɡəˈɡʁʏndət] \nSố nhiều (die Gießereien): [Welche Gießereien liefern an die Automobilindustrie?] [ˈvɛlçə ɡiːsəˈʁaɪən ˈliːfɐn an diː aʊtoˈmoːbiːlɪndʊstʁiː] – [Mehrere regionale Gießereien liefern an die Automobilindustrie.] [ˈmeːʁəʁə ʁeɡjoˈnaːlə ɡiːsəˈʁaɪən ˈliːfɐn an diː aʊtoˈmoːbiːlɪndʊstʁiː]	Số ít (Gießen): "Việc đúc có được tự động hóa không?" – "Có, ngày nay việc đúc thường được tự động hóa hoàn toàn." \n(Gießerei): "Xưởng đúc được thành lập khi nào?" – "Xưởng đúc được thành lập năm 1920." \nSố nhiều (Gießereien): "Những xưởng đúc nào cung cấp cho ngành ô tô?" – "Một số xưởng đúc trong vùng cung cấp cho ngành ô tô."
das Schmieden	[ˈʃmiːdən]	Rèn	Số ít: [Ist das Schmieden energieintensiv?] [ɪst das ˈʃmiːdən enɛʁˈɡiːʔɪntɛnziːf] – [Ja, das Schmieden erfordert hohe Temperaturen.] [jaː das ˈʃmiːdən ɛɐˈfɔʁdɐt ˈhoːə tɛmpəʁaˈtuːʁən] \nSố nhiều: [Welche Schmieden gibt es in der Region?] [ˈvɛlçə ˈʃmiːdən ɡiːpt ɛs ɪn deːɐ ʁeˈɡjoːn] – [Es gibt eine Freiformschmiede und eine Gesenkschmiede.] [ɛs ɡiːpt ˈaɪnə ˈfʁaɪfɔʁmˌʃmiːdə ʊnt ˈaɪnə ɡəˈzɛŋkˌʃmiːdə]	Số ít: "Việc rèn có tiêu tốn nhiều năng lượng không?" – "Có, rèn đòi hỏi nhiệt độ cao." \nSố nhiều: "Trong vùng có những xưởng rèn nào?" – "Có một xưởng rèn tự do và một xưởng rèn khuôn."
das Walzen	[ˈvaltsən]	Cán kim loại	Số ít: [Wofür wird das Walzen eingesetzt?] [voˈfyːɐ vɪʁt das ˈvaltsən ˈaɪnɡəzɛtst] – [Das Walzen wird zur Herstellung von Blechen und Profilen eingesetzt.] [das ˈvaltsən vɪʁt tsuːɐ ˈheːɐʃtɛlʊŋ fɔn ˈblɛçən ʊnt pʁoˈfiːlən ˈaɪnɡəzɛtst] \nSố nhiều: [Welche Walzverfahren sind üblich?] [ˈvɛlçə ˈvaltsfɛɐˌfaːʁən zɪnt ˈyːplɪç] – [Warmwalzen und Kaltwalzen sind übliche Verfahren.] [ˈvaʁmˌvaltsən ʊnt ˈkaltˌvaltsən zɪnt ˈyːplɪçə fɛɐˈfaːʁən]	Số ít: "Cán kim loại được dùng để làm gì?" – "Cán được dùng để sản xuất tấm và thanh định hình." \nSố nhiều: "Những phương pháp cán nào thông dụng?" – "Cán nóng và cán nguội là những phương pháp thông dụng."
das Schweißen	[ˈʃvaɪsən]	Hàn	Số ít: [Welches Schutzgas verwendet man beim Schweißen?] [ˈvɛlçəs ˈʃʊtsɡaːs fɛɐˈvɛndət man baɪm ˈʃvaɪsən] – [Beim MAG‑Schweißen verwendet man ein aktives Gasgemisch.] [baɪm ˈmaːk ˈʃvaɪsən fɛɐˈvɛndət man aɪn akˈtiːvəs ˈɡaːsɡəˌmɪʃ] \nSố nhiều: [Welche Schweißverfahren sind hier zugelassen?] [ˈvɛlçə ˈʃvaɪsfɛɐˌfaːʁən zɪnt hiːɐ ˈtsuːɡəlasən] – [MIG‑, WIG‑ und Punktschweißen sind zugelassen.] [ˈmɪk ˈvɪk ʊnt ˈpʊŋktʃvaɪsən zɪnt ˈtsuːɡəlasən]	Số ít: "Khi hàn người ta dùng khí bảo vệ nào?" – "Khi hàn MAG người ta dùng hỗn hợp khí hoạt tính." \nSố nhiều: "Những phương pháp hàn nào được cho phép ở đây?" – "Hàn MIG, WIG và hàn điểm được cho phép."
das Schneiden von Metall	[ˈʃnaɪdən fɔn meˈtal]	Cắt kim loại	Số ít: [Womit wird das Schneiden von dicken Blechen durchgeführt?] [voˈmɪt vɪʁt das ˈʃnaɪdən fɔn ˈdɪkən ˈblɛçən ˈdʊʁçɡəfyːɐt] – [Das Schneiden von dicken Blechen erfolgt meist mit dem Laser.] [das ˈʃnaɪdən fɔn ˈdɪkən ˈblɛçən ɛɐˈfɔlkt maɪst mɪt deːm ˈleːzɐ] \nSố nhiều: [Welche Schneidverfahren sind wirtschaftlich?] [ˈvɛlçə ˈʃnaɪtfɛɐˌfaːʁən zɪnt ˈvɪʁtʃaftlɪç] – [Laser‑ und Wasserstrahlschneiden sind wirtschaftlich.] [ˈleːzɐ ʊnt ˈvasɐʃtʁaːlˌʃnaɪdən zɪnt ˈvɪʁtʃaftlɪç]	Số ít: "Cắt tấm dày được thực hiện bằng gì?" – "Cắt tấm dày thường được thực hiện bằng laser." \nSố nhiều: "Những phương pháp cắt nào có tính kinh tế?" – "Cắt laser và cắt tia nước có tính kinh tế."
das Drehen	[ˈdʁeːən]	Tiện	Số ít: [Welche Formen lassen sich durch Drehen herstellen?] [ˈvɛlçə ˈfɔʁmən ˈlasən zɪç dʊʁç ˈdʁeːən ˈheːɐʃtɛlən] – [Durch Drehen lassen sich rotationssymmetrische Teile herstellen.] [dʊʁç ˈdʁeːən ˈlasən zɪç ʁotaˈtsjoːnszʏmɛtʁɪʃə ˈtaɪlə ˈheːɐʃtɛlən] \nSố nhiều: [Welche Drehbearbeitungen sind hier möglich?] [ˈvɛlçə ˈdʁeːbəˌaʁbaɪtʊŋən zɪnt hiːɐ ˈmøːklɪç] – [Längs‑ und Plandrehen sind möglich.] [lɛŋs ʊnt ˈplaːnˌdʁeːən zɪnt ˈmøːklɪç]	Số ít: "Những hình dạng nào có thể được tạo ra bằng tiện?" – "Bằng tiện có thể tạo ra các chi tiết đối xứng tròn xoay." \nSố nhiều: "Những nguyên công tiện nào có thể thực hiện ở đây?" – "Có thể tiện dọc và tiện mặt đầu."
das Fräsen	[ˈfʁɛːzən]	Phay	Số ít: [Wann wird das Fräsen dem Drehen vorgezogen?] [van vɪʁt das ˈfʁɛːzən deːm ˈdʁeːən ˈfoːɐɡətsoːɡən] – [Das Fräsen wird vorgezogen, wenn komplexe Konturen nötig sind.] [das ˈfʁɛːzən vɪʁt ˈfoːɐɡətsoːɡən vɛn kɔmˈplɛksə kɔnˈtuːʁən ˈnøːtɪç zɪnt] \nSố nhiều: [Welche Fräsbearbeitungen sind geplant?] [ˈvɛlçə ˈfʁɛːsbəˌaʁbaɪtʊŋən zɪnt ɡəˈplaːnt] – [Stirn‑ und Umfangsfräsen sind geplant.] [ʃtɪʁn ʊnt ˈʊmfaŋsˌfʁɛːzən zɪnt ɡəˈplaːnt]	Số ít: "Khi nào thì phay được ưu tiên hơn tiện?" – "Phay được ưu tiên khi cần các đường viền phức tạp." \nSố nhiều: "Những nguyên công phay nào đã được lên kế hoạch?" – "Phay mặt đầu và phay chu vi đã được lên kế hoạch."
das Bohren	[ˈboːʁən]	Khoan	Số ít: [Welche Kühlung wird beim Bohren verwendet?] [ˈvɛlçə ˈkyːlʊŋ vɪʁt baɪm ˈboːʁən fɛɐˈvɛndət] – [Beim Bohren wird meist Emulsion als Kühlschmierstoff verwendet.] [baɪm ˈboːʁən vɪʁt maɪst emʊlˈsjoːn als ˈkyːlʃmiːɐʃtɔf fɛɐˈvɛndət] \nSố nhiều: [Welche Bohrverfahren sind hier üblich?] [ˈvɛlçə ˈboːɐfɛɐˌfaːʁən zɪnt hiːɐ ˈyːplɪç] – [Vollbohren und Aufbohren sind üblich.] [ˈfɔlboːʁən ʊnt ˈaʊfboːʁən zɪnt ˈyːplɪç]	Số ít: "Khi khoan người ta dùng chất làm mát nào?" – "Khi khoan thường dùng nhũ tương làm dung dịch bôi trơn làm mát." \nSố nhiều: "Những phương pháp khoan nào thông dụng ở đây?" – "Khoan lỗ đặc và khoan rộng lỗ là thông dụng."
das Schleifen	[ˈʃlaɪfən]	Mài	Số ít: [Wozu dient das Schleifen?] [voˈtsuː diːnt das ˈʃlaɪfən] – [Das Schleifen dient der Feinbearbeitung und dem Erreichen enger Toleranzen.] [das ˈʃlaɪfən diːnt deːɐ ˈfaɪnbəˌaʁbaɪtʊŋ ʊnt deːm ɛɐˈʁaɪçən ˈɛŋɐ toleˈʁantsən] \nSố nhiều: [Welche Schleifverfahren sind bekannt?] [ˈvɛlçə ˈʃlaɪffɛɐˌfaːʁən zɪnt bəˈkant] – [Rund‑ und Flachschleifen sind bekannte Verfahren.] [ʁʊnt ʊnt ˈflaxʃlaɪfən zɪnt bəˈkantə fɛɐˈfaːʁən]	Số ít: "Mài có tác dụng gì?" – "Mài dùng để gia công tinh và đạt dung sai hẹp." \nSố nhiều: "Những phương pháp mài nào được biết đến?" – "Mài tròn và mài phẳng là những phương pháp quen thuộc."
die Oberflächenbehandlung	[ˈoːbɐflɛçənbəˌhandlʊŋ]	Xử lý bề mặt	Số ít: [Warum ist die Oberflächenbehandlung wichtig?] [vaˈʁʊm ɪst diː ˈoːbɐflɛçənbəˌhandlʊŋ ˈvɪçtɪç] – [Die Oberflächenbehandlung verbessert Korrosionsschutz und Optik.] [diː ˈoːbɐflɛçənbəˌhandlʊŋ fɛɐˈbɛsɐt kɔʁoˈzjoːnsʃʊts ʊnt ˈɔptɪk] \nSố nhiều: [Welche Oberflächenbehandlungen bieten Sie an?] [ˈvɛlçə ˈoːbɐflɛçənbəˌhandlʊŋən ˈbiːtən ziː an] – [Wir bieten Verzinken, Lackieren und Eloxieren an.] [viːɐ ˈbiːtən fɛɐˈtsɪŋkən laˈkiːʁən ʊnt ɛlɔˈksiːʁən an]	Số ít: "Tại sao xử lý bề mặt lại quan trọng?" – "Xử lý bề mặt cải thiện khả năng chống ăn mòn và thẩm mỹ." \nSố nhiều: "Ông/bà cung cấp những dịch vụ xử lý bề mặt nào?" – "Chúng tôi cung cấp mạ kẽm, sơn và anod hóa."
die Beschichtung	[bəˈʃɪçtʊŋ]	Mạ / phủ bề mặt	Số ít: [Aus welchem Material besteht die Beschichtung?] [aʊs ˈvɛlçəm mateˈʁi̯aːl bəˈʃteːt diː bəˈʃɪçtʊŋ] – [Die Beschichtung besteht aus Titannitrid.] [diː bəˈʃɪçtʊŋ bəˈʃteːt aʊs tiˈtaːnniˌtʁiːt] \nSố nhiều: [Welche Beschichtungen erhöhen die Lebensdauer?] [ˈvɛlçə bəˈʃɪçtʊŋən ɛɐˈhøːən diː ˈleːbənsdaʊɐ] – [Hartstoffbeschichtungen wie TiN erhöhen die Lebensdauer.] [ˈhaʁtʃtɔfbəˌʃɪçtʊŋən viː teːʔiːˈɛn ɛɐˈhøːən diː ˈleːbənsdaʊɐ]	Số ít: "Lớp phủ được làm từ vật liệu gì?" – "Lớp phủ được làm từ titan nitrit." \nSố nhiều: "Những lớp phủ nào làm tăng tuổi thọ?" – "Các lớp phủ cứng như TiN làm tăng tuổi thọ."
der Korrosionsschutz	[kɔʁoˈzjoːnsˌʃʊts]	Chống ăn mòn	Số ít: [Welcher Korrosionsschutz wird im Offshore‑Bereich eingesetzt?] [ˈvɛlçɐ kɔʁoˈzjoːnsˌʃʊts vɪʁt ɪm ˈɔfʃoːɐ bəˈʁaɪç ˈaɪnɡəzɛtst] – [Im Offshore‑Bereich wird oft kathodischer Korrosionsschutz eingesetzt.] [ɪm ˈɔfʃoːɐ bəˈʁaɪç vɪʁt ɔft kaˈtoːdɪʃɐ kɔʁoˈzjoːnsˌʃʊts ˈaɪnɡəzɛtst] \nSố nhiều: [Welche Korrosionsschutz‑Verfahren sind umweltfreundlich?] [ˈvɛlçə kɔʁoˈzjoːnsʃʊts fɛɐˈfaːʁən zɪnt ˈʊmvɛltˌfʁɔʏntlɪç] – [Wasserlacke und Zinklamellen‑Beschichtungen sind umweltfreundlich.] [ˈvasɐlakə ʊnt ˈtsɪŋklaˌmɛlən bəˈʃɪçtʊŋən zɪnt ˈʊmvɛltˌfʁɔʏntlɪç]	Số ít: "Biện pháp chống ăn mòn nào được dùng trong lĩnh vực ngoài khơi?" – "Trong lĩnh vực ngoài khơi thường dùng bảo vệ catốt." \nSố nhiều: "Những phương pháp chống ăn mòn nào thân thiện với môi trường?" – "Sơn nước và lớp phủ mảnh kẽm thân thiện với môi trường."
die Automobilindustrie	[aʊtomoˈbiːlɪndʊstʁiː]	Công nghiệp ô tô	Số ít: [Warum ist die Automobilindustrie ein Schlüsselsektor?] [vaˈʁʊm ɪst diː aʊtomoˈbiːlɪndʊstʁiː aɪn ˈʃlʏsəlzɛktoːɐ] – [Die Automobilindustrie schafft viele Arbeitsplätze und Innovationen.] [diː aʊtomoˈbiːlɪndʊstʁiː ʃaft ˈfiːlə ˈaʁbaɪtsplɛtsə ʊnt ɪnovaˈtsjoːnən] \nSố nhiều: [Welche Automobilindustrien setzen auf Elektromobilität?] [ˈvɛlçə aʊtomoˈbiːlɪndʊstʁiən ˈzɛtsən aʊf eˈlɛktʁomobiliˈtɛːt] – [Die deutsche und die US‑amerikanische Automobilindustrie setzen stark auf Elektromobilität.] [diː ˈdɔʏtʃə ʊnt diː uːɛs aˈmeːʁikaːnɪʃə aʊtomoˈbiːlɪndʊstʁiː ˈzɛtsən ʃtaʁk aʊf eˈlɛktʁomobiliˈtɛːt]	Số ít: "Tại sao công nghiệp ô tô là ngành then chốt?" – "Công nghiệp ô tô tạo ra nhiều việc làm và đổi mới sáng tạo." \nSố nhiều: "Những nền công nghiệp ô tô nào tập trung vào di động điện?" – "Công nghiệp ô tô Đức và Mỹ đang tập trung mạnh vào di động điện."
der Fahrzeugbau	[ˈfaːɐtsɔʏkbaʊ]	Sản xuất xe	Số ít: [Was umfasst der Fahrzeugbau?] [vas ˈʊmfast deːɐ ˈfaːɐtsɔʏkbaʊ] – [Der Fahrzeugbau umfasst Pkw, Lkw und Busse.] [deːɐ ˈfaːɐtsɔʏkbaʊ ˈʊmfast peːkaˈveː ɛlkaˈveː ʊnt ˈbʊsə] \nSố nhiều: [Welche Fahrzeugbauten sind in der Region angesiedelt?] [ˈvɛlçə ˈfaːɐtsɔʏkˌbaʊtən zɪnt ɪn deːɐ ʁeˈɡjoːn ˈanɡəziːdəlt] – [Nutzfahrzeugbau und Schienenfahrzeugbau sind hier angesiedelt.] [ˈnʊtsfaːɐtsɔʏkbaʊ ʊnt ˈʃiːnənfaːɐtsɔʏkbaʊ zɪnt hiːɐ ˈanɡəziːdəlt]	Số ít: "Sản xuất xe bao gồm những gì?" – "Sản xuất xe bao gồm ô tô con, xe tải và xe buýt." \nSố nhiều: "Những ngành sản xuất xe nào có mặt trong vùng?" – "Sản xuất xe thương mại và xe đường sắt có mặt ở đây."
die Automobilzulieferindustrie	[aʊtomoˈbiːlˌtsuːliːfɐɪndʊstʁiː]	Công nghiệp phụ trợ ô tô	Số ít: [Wie wichtig ist die Automobilzulieferindustrie?] [viː ˈvɪçtɪç ɪst diː aʊtomoˈbiːlˌtsuːliːfɐɪndʊstʁiː] – [Die Automobilzulieferindustrie ist ein entscheidender Teil der Wertschöpfungskette.] [diː aʊtomoˈbiːlˌtsuːliːfɐɪndʊstʁiː ɪst aɪn ɛntˈʃaɪdəndɐ taɪl deːɐ ˈveːɐtʃœpfʊŋsˌkɛtə] \nSố nhiều: [Welche Automobilzulieferindustrien wachsen?] [ˈvɛlçə aʊtomoˈbiːlˌtsuːliːfɐɪndʊstʁiən ˈvaksən] – [Die Elektronik‑ und die Batteriezulieferindustrie wachsen stark.] [diː elɛkˈtʁoːnɪk ʊnt diː batəˈʁiːˌtsuːliːfɐɪndʊstʁiː ˈvaksən ʃtaʁk]	Số ít: "Công nghiệp phụ trợ ô tô quan trọng thế nào?" – "Công nghiệp phụ trợ ô tô là một phần quyết định của chuỗi giá trị." \nSố nhiều: "Những ngành phụ trợ ô tô nào đang tăng trưởng?" – "Ngành phụ trợ điện tử và pin đang tăng trưởng mạnh."
der Schiffbau	[ˈʃɪfbaʊ]	Đóng tàu	Số ít: [Wo hat der Schiffbau Tradition?] [voː hat deːɐ ˈʃɪfbaʊ tʁadiˈtsjoːn] – [Der Schiffbau hat an der Nordseeküste Tradition.] [deːɐ ˈʃɪfbaʊ hat an deːɐ ˈnɔʁtzeːˌkʏstə tʁadiˈtsjoːn] \nSố nhiều: [Welche Schiffbauten werden gefördert?] [ˈvɛlçə ˈʃɪfbaʊtən ˈvɛʁdən ɡəˈfœʁdɐt] – [Kreuzfahrtschiff‑ und Marineschiffbauten werden gefördert.] [ˈkʁɔʏtsfaːɐtˌʃɪf ʊnt maˈʁiːnəˌʃɪfbaʊtən ˈvɛʁdən ɡəˈfœʁdɐt]	Số ít: "Ở đâu đóng tàu có truyền thống?" – "Đóng tàu có truyền thống ở bờ biển Bắc Hải." \nSố nhiều: "Những công trình đóng tàu nào được hỗ trợ?" – "Đóng tàu du lịch và tàu hải quân được hỗ trợ."
die Luft‑ und Raumfahrtindustrie	[ˈlʊft ʊnt ˈʁaʊmfaːɐtɪndʊstʁiː]	Công nghiệp hàng không vũ trụ	Số ít: [Ist die Luft‑ und Raumfahrtindustrie forschungsintensiv?] [ɪst diː ˈlʊft ʊnt ˈʁaʊmfaːɐtɪndʊstʁiː ˈfɔʁʃʊŋsʔɪntɛnˌziːf] – [Ja, die Luft‑ und Raumfahrtindustrie investiert stark in Forschung.] [jaː diː ˈlʊft ʊnt ˈʁaʊmfaːɐtɪndʊstʁiː ɪnvɛsˈtiːɐt ʃtaʁk ɪn ˈfɔʁʃʊŋ] \nSố nhiều: [Welche Luft‑ und Raumfahrtindustrien boomen?] [ˈvɛlçə ˈlʊft ʊnt ˈʁaʊmfaːɐtɪndʊstʁiən ˈbuːmən] – [Die Satelliten‑ und die Drohnenindustrie boomen.] [diː zatɛˈliːtən ʊnt diː ˈdʁoːnənɪndʊstʁiː ˈbuːmən]	Số ít: "Ngành hàng không vũ trụ có thâm dụng nghiên cứu không?" – "Có, ngành hàng không vũ trụ đầu tư mạnh vào nghiên cứu." \nSố nhiều: "Những ngành hàng không vũ trụ nào đang bùng nổ?" – "Ngành vệ tinh và máy bay không người lái đang bùng nổ."
die Elektroindustrie	[eˈlɛktʁoɪndʊstʁiː]	Công nghiệp điện	Số ít: [Was fertigt die Elektroindustrie?] [vas ˈfɛʁtɪçt diː eˈlɛktʁoɪndʊstʁiː] – [Die Elektroindustrie fertigt Kabel, Schalter und Generatoren.] [diː eˈlɛktʁoɪndʊstʁiː ˈfɛʁtɪçt ˈkaːbəl ˈʃaltɐ ʊnt ɡenəˈʁaːtoːʁən] \nSố nhiều: [Welche Elektroindustrien sind exportstark?] [ˈvɛlçə eˈlɛktʁoɪndʊstʁiən zɪnt ɛksˈpɔʁtʃtaʁk] – [Die deutsche und die japanische Elektroindustrie sind exportstark.] [diː ˈdɔʏtʃə ʊnt diː jaˈpaːnɪʃə eˈlɛktʁoɪndʊstʁiː zɪnt ɛksˈpɔʁtʃtaʁk]	Số ít: "Ngành công nghiệp điện sản xuất những gì?" – "Ngành công nghiệp điện sản xuất cáp, công tắc và máy phát điện." \nSố nhiều: "Những ngành công nghiệp điện nào mạnh về xuất khẩu?" – "Ngành công nghiệp điện Đức và Nhật Bản mạnh về xuất khẩu."
die Elektrotechnik	[eˈlɛktʁoˌtɛçnɪk]	Kỹ thuật điện	Số ít: [Studierst du Elektrotechnik?] [ˈʃtuːdiːɐst duː eˈlɛktʁoˌtɛçnɪk] – [Ja, ich studiere Elektrotechnik an der TU.] [jaː ɪç ˈʃtuːdiːʁə eˈlɛktʁoˌtɛçnɪk an deːɐ teːˈuː] \nSố nhiều: [Welche Elektrotechniken sind zukunftsweisend?] [ˈvɛlçə eˈlɛktʁoˌtɛçnɪkən zɪnt ˈtsuːkʊnftsˌvaɪzənt] – [Erneuerbare‑Energien‑Techniken und Automatisierungstechnik sind zukunftsweisend.] [ɛɐˈnɔʏɐbaːʁə enɛʁˈɡiːən ˈtɛçnɪkən ʊnt aʊtɔmatiˈziːʁʊŋsˌtɛçnɪk zɪnt ˈtsuːkʊnftsˌvaɪzənt]	Số ít: "Bạn có đang học kỹ thuật điện không?" – "Có, tôi đang học kỹ thuật điện tại đại học kỹ thuật." \nSố nhiều: "Những công nghệ kỹ thuật điện nào có tính định hướng tương lai?" – "Các công nghệ năng lượng tái tạo và kỹ thuật tự động hóa có tính định hướng tương lai."
die Elektronikindustrie	[elɛkˈtʁoːnɪkɪndʊstʁiː]	Công nghiệp điện tử	Số ít: [Wo sitzt die Elektronikindustrie hauptsächlich?] [voː ˈzɪtst diː elɛkˈtʁoːnɪkɪndʊstʁiː ˈhaʊptzɛçlɪç] – [Die Elektronikindustrie konzentriert sich in Asien.] [diː elɛkˈtʁoːnɪkɪndʊstʁiː kɔntsɛnˈtʁiːɐt zɪç ɪn ˈaːziən] \nSố nhiều: [Welche Elektronikindustrien sind führend in der Chipfertigung?] [ˈvɛlçə elɛkˈtʁoːnɪkɪndʊstʁiən zɪnt ˈfyːʁənt ɪn deːɐ ˈtʃɪpfɛʁtɪɡʊŋ] – [Taiwanesische und südkoreanische Elektronikindustrien sind führend.] [taɪˈvaːnəzɪʃə ʊnt zyːtkoʁeˈaːnɪʃə elɛkˈtʁoːnɪkɪndʊstʁiən zɪnt ˈfyːʁənt]	Số ít: "Công nghiệp điện tử tập trung chủ yếu ở đâu?" – "Công nghiệp điện tử tập trung ở châu Á." \nSố nhiều: "Những ngành công nghiệp điện tử nào dẫn đầu về sản xuất chip?" – "Các ngành công nghiệp điện tử Đài Loan và Hàn Quốc dẫn đầu."
